NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Tnip3	1	ENSMUSG00000044162	
Gm13472	1	ENSMUSG00000083866	
Tnip2	1	ENSMUSG00000059866	
Tnip1	1	ENSMUSG00000020400	
Sgtb	1	ENSMUSG00000042743	
Wtap	1	ENSMUSG00000060475	
RP23-49O22.2	1	ENSMUSG00000107333	
Sgta	1	ENSMUSG00000004937	
Gm37401	1	ENSMUSG00000104208	
Gm13477	1	ENSMUSG00000083849	
Pde5a	1	ENSMUSG00000053965	
Gm13474	1	ENSMUSG00000084184	
1700001P01Rik	1	ENSMUSG00000018543	
Gm37403	1	ENSMUSG00000103320	
Gm1848	1	ENSMUSG00000083892	
Mmachc	1	ENSMUSG00000028690	
Gm37402	1	ENSMUSG00000103324	
Gm37407	1	ENSMUSG00000103497	
Gm25450	1	ENSMUSG00000094199	
Fam186b	1	ENSMUSG00000078907	
Fam186a	1	ENSMUSG00000045350	
Gm1840	1	ENSMUSG00000043192	
Pde4c	1	ENSMUSG00000031842	
Pde4d	1	ENSMUSG00000021699	
Ltbr	1	ENSMUSG00000030339	
Ate1	1	ENSMUSG00000030850	
Gm13461	1	ENSMUSG00000081999	
Tas2r108	1	ENSMUSG00000037140	
Snrpd2	1	ENSMUSG00000040824	
Gm13460	1	ENSMUSG00000083260	
Snrpd1	1	ENSMUSG00000002477	
6030460B20Rik	1	ENSMUSG00000103822	
Lmx1a	1	ENSMUSG00000026686	
Gm37412	1	ENSMUSG00000103492	
Tmem63c	1	ENSMUSG00000034145	
Pde6c	1	ENSMUSG00000024992	
Pde6d	1	ENSMUSG00000026239	
Gm37411	1	ENSMUSG00000103493	
Gm13466	1	ENSMUSG00000083807	
Tmem63b	1	ENSMUSG00000036026	
Lmx1b	1	ENSMUSG00000038765	
Gm13469	1	ENSMUSG00000082679	
Pde6a	1	ENSMUSG00000024575	
Pde6b	1	ENSMUSG00000029491	
Gm13462	1	ENSMUSG00000082930	
Gm37415	1	ENSMUSG00000103864	
Snrpd3	1	ENSMUSG00000020180	
Tmem63a	1	ENSMUSG00000026519	
Sgsh	1	ENSMUSG00000005043	
Gm13464	1	ENSMUSG00000080994	
RP24-176O2.2	1	ENSMUSG00000105437	
Gm1833	1	ENSMUSG00000100362	
RP24-176O2.1	1	ENSMUSG00000106551	
Fam187a	1	ENSMUSG00000075510	
Fam187b	1	ENSMUSG00000046826	
RP24-176O2.4	1	ENSMUSG00000105926	
Gm25445	1	ENSMUSG00000089621	
Gm25448	1	ENSMUSG00000095825	
Atf2	1	ENSMUSG00000027104	
Atf1	1	ENSMUSG00000023027	
Unc50	1	ENSMUSG00000026111	
Fabp3-ps1	1	ENSMUSG00000056366	
Slc38a10	1	ENSMUSG00000061306	
Mbnl3	1	ENSMUSG00000036109	
2210408F21Rik	1	ENSMUSG00000087380	
Atg3	1	ENSMUSG00000022663	
Zmynd8	1	ENSMUSG00000039671	
Eif5a2	1	ENSMUSG00000050192	
Mbnl2	1	ENSMUSG00000022139	
Mbnl1	1	ENSMUSG00000027763	
Arntl2	1	ENSMUSG00000040187	
Far2	1	ENSMUSG00000030303	
Pkd2l2	1	ENSMUSG00000014503	
Far1	1	ENSMUSG00000030759	
Atf7	1	ENSMUSG00000099083	
Pkd2l1	1	ENSMUSG00000037578	
Atf6	1	ENSMUSG00000026663	
Atf5	1	ENSMUSG00000038539	
Atf4	1	ENSMUSG00000042406	
Atf3	1	ENSMUSG00000026628	
Pitpnb	1	ENSMUSG00000050017	
Pitpna	1	ENSMUSG00000017781	
1810012K08Rik	1	ENSMUSG00000087595	
Fasl	1	ENSMUSG00000000817	
Qars	1	ENSMUSG00000032604	
Fasn	1	ENSMUSG00000025153	
Tas2r135	1	ENSMUSG00000056203	
Atg7	1	ENSMUSG00000030314	
Atg5	1	ENSMUSG00000038160	
Slc26a10	1	ENSMUSG00000040441	
Tas2r136	1	ENSMUSG00000053217	
Slc26a11	1	ENSMUSG00000039908	
Tbc1d1	1	ENSMUSG00000029174	
Mov10	1	ENSMUSG00000002227	
Tbc1d2	1	ENSMUSG00000039813	
Tbc1d5	1	ENSMUSG00000023923	
Tbc1d4	1	ENSMUSG00000033083	
D930007P13Rik	1	ENSMUSG00000097003	
Tbc1d7	1	ENSMUSG00000021368	
BC048507	1	ENSMUSG00000064063	
Izumo4	1	ENSMUSG00000055862	
Wdsub1	1	ENSMUSG00000026988	
Izumo1	1	ENSMUSG00000064158	
Tbc1d9	1	ENSMUSG00000031709	
Fat2	1	ENSMUSG00000055333	
Tbc1d8	1	ENSMUSG00000003134	
Fat1	1	ENSMUSG00000070047	
Fat4	1	ENSMUSG00000046743	
Tas2r143	1	ENSMUSG00000046652	
Fat3	1	ENSMUSG00000074505	
Mmp23	1	ENSMUSG00000029061	
Mmp24	1	ENSMUSG00000027612	
Mmp25	1	ENSMUSG00000023903	
Mmp27	1	ENSMUSG00000070323	
Mmp28	1	ENSMUSG00000020682	
9130213A22Rik	1	ENSMUSG00000097386	
6720464F23Rik	1	ENSMUSG00000103432	
Trbv31	1	ENSMUSG00000076499	
Mmp20	1	ENSMUSG00000018620	
Mmp21	1	ENSMUSG00000030981	
Mmp11	1	ENSMUSG00000000901	
Mmp12	1	ENSMUSG00000049723	
Mmp13	1	ENSMUSG00000050578	
Mmp14	1	ENSMUSG00000000957	
Mmp15	1	ENSMUSG00000031790	
Mmp16	1	ENSMUSG00000028226	
Mmp17	1	ENSMUSG00000029436	
Mmp19	1	ENSMUSG00000025355	
Atic	1	ENSMUSG00000026192	
A230087F16Rik	1	ENSMUSG00000097381	
Taar6	1	ENSMUSG00000045111	
Copz2	1	ENSMUSG00000018672	
2410080I02Rik	1	ENSMUSG00000044387	
8430437L04Rik	1	ENSMUSG00000085252	
Taar5	1	ENSMUSG00000069706	
Taar4	1	ENSMUSG00000069707	
2610020H08Rik	1	ENSMUSG00000030924	
Taar1	1	ENSMUSG00000056379	
Mmp10	1	ENSMUSG00000047562	
Copz1	1	ENSMUSG00000060992	
Gm37485	1	ENSMUSG00000104121	
Gm37484	1	ENSMUSG00000104120	
Atl3	1	ENSMUSG00000024759	
Atl2	1	ENSMUSG00000059811	
Gm37482	1	ENSMUSG00000104122	
Atl1	1	ENSMUSG00000021066	
BC048559	1	ENSMUSG00000102114	
Gm37488	1	ENSMUSG00000104125	
N28178	1	ENSMUSG00000036062	
Wtip	1	ENSMUSG00000036459	
Ung	1	ENSMUSG00000029591	
Setd3	1	ENSMUSG00000056770	
Setd2	1	ENSMUSG00000044791	
Setd5	1	ENSMUSG00000034269	
Unk	1	ENSMUSG00000020770	
Setd4	1	ENSMUSG00000022948	
Setd7	1	ENSMUSG00000037111	
Setd6	1	ENSMUSG00000031671	
4930578C19Rik	1	ENSMUSG00000037358	
Setd8	1	ENSMUSG00000049327	
Tmprss12	1	ENSMUSG00000045631	
Ostm1	1	ENSMUSG00000038280	
RP23-175B24.5	1	ENSMUSG00000105687	
Gm37490	1	ENSMUSG00000102211	
Ndnl2	1	ENSMUSG00000070520	
Gm37499	1	ENSMUSG00000103901	
Gm37498	1	ENSMUSG00000103907	
BC048546	1	ENSMUSG00000047228	
Gm37497	1	ENSMUSG00000103904	
RP23-76L18.2	1	ENSMUSG00000106358	
C330013J21Rik	1	ENSMUSG00000074529	
Uox	1	ENSMUSG00000028186	
Atn1	1	ENSMUSG00000004263	
AU015228	1	ENSMUSG00000074804	
Map3k9	1	ENSMUSG00000042724	
Rangrf	1	ENSMUSG00000032892	
Map3k8	1	ENSMUSG00000024235	
Map3k7	1	ENSMUSG00000028284	
Map3k6	1	ENSMUSG00000028862	
Map3k5	1	ENSMUSG00000071369	
Ltn1	1	ENSMUSG00000052299	
Map3k4	1	ENSMUSG00000014426	
Zcchc9	1	ENSMUSG00000021621	
Tgtp1	1	ENSMUSG00000078922	
Tgtp2	1	ENSMUSG00000078921	
Unc5cl	1	ENSMUSG00000043592	
Zcchc6	1	ENSMUSG00000035248	
Zcchc5	1	ENSMUSG00000047686	
Zcchc8	1	ENSMUSG00000029427	
Zcchc7	1	ENSMUSG00000035649	
4930533K18Rik	1	ENSMUSG00000047692	
Scnm1	1	ENSMUSG00000092607	
C130046K22Rik	1	ENSMUSG00000085154	
Faxc	1	ENSMUSG00000028246	
Zcchc2	1	ENSMUSG00000038866	
Amotl2	1	ENSMUSG00000032531	
Amotl1	1	ENSMUSG00000013076	
Zcchc4	1	ENSMUSG00000029179	
Zcchc3	1	ENSMUSG00000074682	
2510002D24Rik	1	ENSMUSG00000071632	
Map3k3	1	ENSMUSG00000020700	
Map3k2	1	ENSMUSG00000024383	
Map3k1	1	ENSMUSG00000021754	
4930545L23Rik	1	ENSMUSG00000085247	
Shc4	1	ENSMUSG00000035109	
Coprs	1	ENSMUSG00000031458	
Shc3	1	ENSMUSG00000021448	
Shc2	1	ENSMUSG00000020312	
Shc1	1	ENSMUSG00000042626	
Cops3	1	ENSMUSG00000019373	
Cops4	1	ENSMUSG00000035297	
Cops5	1	ENSMUSG00000025917	
Cops6	1	ENSMUSG00000019494	
Synj1	1	ENSMUSG00000022973	
Cops2	1	ENSMUSG00000027206	
Nop16	1	ENSMUSG00000025869	
Cops8	1	ENSMUSG00000034432	
Nop14	1	ENSMUSG00000036693	
Mmp1a	1	ENSMUSG00000043089	
Hhat	1	ENSMUSG00000037375	
Nop10	1	ENSMUSG00000027133	
Ust	1	ENSMUSG00000047712	
Synj2	1	ENSMUSG00000023805	
Pced1c-ps	1	ENSMUSG00000101387	
Cdr2l	1	ENSMUSG00000050910	
Smarcb1	1	ENSMUSG00000000902	
Uty	1	ENSMUSG00000068457	
Unc80	1	ENSMUSG00000055567	
RP24-389H4.1	1	ENSMUSG00000104568	
Smarca2	1	ENSMUSG00000024921	
Smarca1	1	ENSMUSG00000031099	
Syce1l	1	ENSMUSG00000033409	
Smarca4	1	ENSMUSG00000032187	
Smarca5	1	ENSMUSG00000031715	
Glod5	1	ENSMUSG00000031163	
Glod4	1	ENSMUSG00000017286	
Atrx	1	ENSMUSG00000031229	
Dnase1l2	1	ENSMUSG00000024136	
Dnase1l3	1	ENSMUSG00000025279	
Fth-ps2	1	ENSMUSG00000091313	
Dnase1l1	1	ENSMUSG00000019088	
Unc79	1	ENSMUSG00000021198	
Atrn	1	ENSMUSG00000027312	
Megf10	1	ENSMUSG00000024593	
Megf11	1	ENSMUSG00000036466	
Smarcd1	1	ENSMUSG00000023018	
Smarcd3	1	ENSMUSG00000028949	
1810019N24Rik	1	ENSMUSG00000097115	
Smarcd2	1	ENSMUSG00000078619	
Syne3	1	ENSMUSG00000054150	
Syne4	1	ENSMUSG00000019737	
1700020A23Rik	1	ENSMUSG00000027409	
Syne1	1	ENSMUSG00000096054	
Syne2	1	ENSMUSG00000063450	
Nop58	1	ENSMUSG00000026020	
Nop56	1	ENSMUSG00000027405	
Bmpr2	1	ENSMUSG00000067336	
Hhex	1	ENSMUSG00000024986	
Unkl	1	ENSMUSG00000015127	
Unc5b	1	ENSMUSG00000020099	
Smarcc2	1	ENSMUSG00000025369	
Mir219a-1	1	ENSMUSG00000065555	
Smarcc1	1	ENSMUSG00000032481	
Unc5a	1	ENSMUSG00000025876	
Unc5d	1	ENSMUSG00000063626	
Unc5c	1	ENSMUSG00000059921	
Gm25517	1	ENSMUSG00000065799	
Ltv1	1	ENSMUSG00000019814	
Gm37500	1	ENSMUSG00000103900	
Gm13532	1	ENSMUSG00000081642	
Gm13535	1	ENSMUSG00000084292	
Gm13534	1	ENSMUSG00000053472	
Gm37503	1	ENSMUSG00000103013	
Gm37502	1	ENSMUSG00000103908	
Gm13531	1	ENSMUSG00000084338	
Uxt	1	ENSMUSG00000001134	
Dnaaf1	1	ENSMUSG00000031831	
Gm37506	1	ENSMUSG00000103016	
Dnaaf3	1	ENSMUSG00000055809	
Dnaaf2	1	ENSMUSG00000020973	
Gm13536	1	ENSMUSG00000085742	
Gm37509	1	ENSMUSG00000104379	
Synrg	1	ENSMUSG00000034940	
RP23-372C7.8	1	ENSMUSG00000105971	
Fam192a	1	ENSMUSG00000031774	
Dhx58	1	ENSMUSG00000017830	
Dhx57	1	ENSMUSG00000035051	
RP23-372C7.4	1	ENSMUSG00000104687	
Dnaaf5	1	ENSMUSG00000025857	
RP23-372C7.5	1	ENSMUSG00000104828	
RP23-372C7.2	1	ENSMUSG00000104735	
Slc33a1	1	ENSMUSG00000027822	
RP23-267O21.3	1	ENSMUSG00000105561	
Gm37510	1	ENSMUSG00000104378	
RP23-267O21.4	1	ENSMUSG00000105137	
Gm13524	1	ENSMUSG00000085397	
Gm13523	1	ENSMUSG00000087496	
RP23-267O21.2	1	ENSMUSG00000106184	
4930593A02Rik	1	ENSMUSG00000097725	
Gm37514	1	ENSMUSG00000104370	
Gm37519	1	ENSMUSG00000103251	
Avpr2	1	ENSMUSG00000031390	
Gm13529	1	ENSMUSG00000081244	
Gm37516	1	ENSMUSG00000104376	
Gm13525	1	ENSMUSG00000082879	
RP24-418J2.5	1	ENSMUSG00000104667	
Gm13527	1	ENSMUSG00000082578	
Fam193b	1	ENSMUSG00000021495	
Fam193a	1	ENSMUSG00000037210	
4930444E06Rik	1	ENSMUSG00000085127	
Dhx40	1	ENSMUSG00000018425	
RP23-21O1.3	1	ENSMUSG00000106345	
Fbf1	1	ENSMUSG00000020776	
Gm13557	1	ENSMUSG00000082989	
Gm13556	1	ENSMUSG00000087294	
Gm13551	1	ENSMUSG00000083276	
Gm13550	1	ENSMUSG00000084250	
Gm13552	1	ENSMUSG00000081157	
A930007I19Rik	1	ENSMUSG00000097855	
Gm13559	1	ENSMUSG00000080985	
Gm13558	1	ENSMUSG00000086129	
Dhx38	1	ENSMUSG00000037993	
Dhx37	1	ENSMUSG00000029480	
Dhx36	1	ENSMUSG00000027770	
Dhx35	1	ENSMUSG00000027655	
N4bp1	1	ENSMUSG00000031652	
N4bp2	1	ENSMUSG00000037795	
Gm25535	1	ENSMUSG00000093105	
Dhx34	1	ENSMUSG00000006019	
N4bp3	1	ENSMUSG00000001053	
Dhx33	1	ENSMUSG00000040620	
Dhx32	1	ENSMUSG00000030986	
Dhx30	1	ENSMUSG00000032480	
1700003M02Rik	1	ENSMUSG00000028294	
Synpr	1	ENSMUSG00000056296	
Gm25526	1	ENSMUSG00000093933	
Hhip	1	ENSMUSG00000064325	
Gm13543	1	ENSMUSG00000083745	
Gm13546	1	ENSMUSG00000086862	
Gm13545	1	ENSMUSG00000082408	
Synpo	1	ENSMUSG00000043079	
Gm13542	1	ENSMUSG00000082357	
4930581F22Rik	1	ENSMUSG00000070315	
4833427G06Rik	1	ENSMUSG00000032057	
Dhx29	1	ENSMUSG00000042426	
Gm13547	1	ENSMUSG00000075425	
Fam195b	1	ENSMUSG00000061111	
Gm13549	1	ENSMUSG00000080982	
Fam195a	1	ENSMUSG00000025732	
Gm25520	1	ENSMUSG00000089014	
Rap2b	1	ENSMUSG00000036894	
Rap2a	1	ENSMUSG00000051615	
Rap2c	1	ENSMUSG00000050029	
RP23-27G7.2	1	ENSMUSG00000105016	
9530056K15Rik	1	ENSMUSG00000045345	
Dhx16	1	ENSMUSG00000024422	
Dhx15	1	ENSMUSG00000029169	
RP23-424O22.1	1	ENSMUSG00000105600	
RP23-424O22.3	1	ENSMUSG00000105508	
Rap1a	1	ENSMUSG00000068798	
Rap1b	1	ENSMUSG00000052681	
Klk1b5	1	ENSMUSG00000066512	
4833407H14Rik	1	ENSMUSG00000097779	
RP23-31L10.4	1	ENSMUSG00000105453	
RP23-31L10.2	1	ENSMUSG00000106090	
G430049J08Rik	1	ENSMUSG00000096528	
RP23-364E18.2	1	ENSMUSG00000104941	
Tdpoz3	1	ENSMUSG00000058005	
Rpl27a-ps2	1	ENSMUSG00000058430	
Tdpoz4	1	ENSMUSG00000060256	
Gm13511	1	ENSMUSG00000083157	
Gm13510	1	ENSMUSG00000080937	
Zfp26	1	ENSMUSG00000063108	
Zfp27	1	ENSMUSG00000062040	
Zfp28	1	ENSMUSG00000062861	
Gm13518	1	ENSMUSG00000082142	
Gm13517	1	ENSMUSG00000082971	
Rpl27a-ps1	1	ENSMUSG00000061488	
Zc3hav1	1	ENSMUSG00000029826	
Zfp11	1	ENSMUSG00000051034	
Zfp12	1	ENSMUSG00000029587	
Zfp13	1	ENSMUSG00000062012	
Zfp14	1	ENSMUSG00000053985	
Gm13500	1	ENSMUSG00000081173	
Gm13502	1	ENSMUSG00000083287	
Copg1	1	ENSMUSG00000030058	
Gm13501	1	ENSMUSG00000082472	
Copg2	1	ENSMUSG00000025607	
Tenm4	1	ENSMUSG00000048078	
Tenm3	1	ENSMUSG00000031561	
Tenm2	1	ENSMUSG00000049336	
Tenm1	1	ENSMUSG00000016150	
Gm13508	1	ENSMUSG00000084177	
Gm13509	1	ENSMUSG00000081272	
Gm13504	1	ENSMUSG00000083686	
Gm13503	1	ENSMUSG00000080716	
Gm13505	1	ENSMUSG00000082096	
RP24-549I13.2	1	ENSMUSG00000104677	
RP24-549I13.1	1	ENSMUSG00000106572	
Gm37580	1	ENSMUSG00000102398	
Gm37584	1	ENSMUSG00000103115	
Gm37583	1	ENSMUSG00000103119	
Cdpf1	1	ENSMUSG00000064284	
Bmper	1	ENSMUSG00000031963	
Gm37581	1	ENSMUSG00000103388	
Zmat5	1	ENSMUSG00000009076	
Zmat4	1	ENSMUSG00000037492	
Zmat3	1	ENSMUSG00000027663	
Gm37585	1	ENSMUSG00000103113	
Zmat2	1	ENSMUSG00000001383	
Zmat1	1	ENSMUSG00000052676	
Gm37589	1	ENSMUSG00000104235	
Gm25591	1	ENSMUSG00000093762	
Gm25594	1	ENSMUSG00000076229	
Shpk	1	ENSMUSG00000005951	
RP23-174O6.3	1	ENSMUSG00000106721	
3830408C21Rik	1	ENSMUSG00000071181	
Gm25596	1	ENSMUSG00000096841	
4930552P12Rik	1	ENSMUSG00000097632	
A430110C17Rik	1	ENSMUSG00000102415	
Gm37593	1	ENSMUSG00000103358	
Gm37592	1	ENSMUSG00000104231	
Gm37599	1	ENSMUSG00000102740	
Avpi1	1	ENSMUSG00000018821	
Gm37598	1	ENSMUSG00000102749	
Gm25580	1	ENSMUSG00000065343	
Trub2	1	ENSMUSG00000039826	
Shq1	1	ENSMUSG00000035378	
Gm25583	1	ENSMUSG00000065347	
Trub1	1	ENSMUSG00000025086	
4930535I16Rik	1	ENSMUSG00000096969	
Gm25588	1	ENSMUSG00000064435	
4933406J10Rik	1	ENSMUSG00000086690	
Vcl	1	ENSMUSG00000021823	
Fbn2	1	ENSMUSG00000024598	
Vcp	1	ENSMUSG00000028452	
Gm37562	1	ENSMUSG00000104041	
Gm37566	1	ENSMUSG00000104044	
Gm37565	1	ENSMUSG00000104045	
Gm37564	1	ENSMUSG00000104042	
Gm37563	1	ENSMUSG00000104040	
Gm37569	1	ENSMUSG00000102556	
Gm37568	1	ENSMUSG00000102554	
Gm37567	1	ENSMUSG00000104046	
RP24-404P10.4	1	ENSMUSG00000105767	
RP24-404P10.3	1	ENSMUSG00000106036	
RP24-404P10.2	1	ENSMUSG00000106224	
RP24-404P10.9	1	ENSMUSG00000105889	
RP24-404P10.8	1	ENSMUSG00000104676	
RP24-404P10.7	1	ENSMUSG00000106087	
RP24-404P10.6	1	ENSMUSG00000105597	
Vdr	1	ENSMUSG00000022479	
Gm37571	1	ENSMUSG00000102558	
Gm37570	1	ENSMUSG00000102559	
Gm37575	1	ENSMUSG00000102394	
Gm37579	1	ENSMUSG00000102390	
0610009L18Rik	1	ENSMUSG00000043644	
Fbn1	1	ENSMUSG00000027204	
2610203C22Rik	1	ENSMUSG00000079671	
Gm13571	1	ENSMUSG00000086196	
Gm13570	1	ENSMUSG00000087181	
Gm13577	1	ENSMUSG00000082127	
Eif4e2	1	ENSMUSG00000026254	
Gm37542	1	ENSMUSG00000102291	
Gm37541	1	ENSMUSG00000102293	
Gm13578	1	ENSMUSG00000084104	
Mmadhc	1	ENSMUSG00000026766	
Gm13573	1	ENSMUSG00000080198	
Gm37548	1	ENSMUSG00000103012	
Gm13572	1	ENSMUSG00000085975	
Copb2	1	ENSMUSG00000032458	
Med9os	1	ENSMUSG00000085260	
Gm37549	1	ENSMUSG00000103015	
Fam196a	1	ENSMUSG00000073805	
Copb1	1	ENSMUSG00000030754	
Gm25558	1	ENSMUSG00000088708	
Gm13566	1	ENSMUSG00000084115	
Gm37555	1	ENSMUSG00000103091	
Gm37553	1	ENSMUSG00000104383	
Gm37552	1	ENSMUSG00000102941	
Gm13567	1	ENSMUSG00000083195	
Gm37559	1	ENSMUSG00000103098	
Gm13562	1	ENSMUSG00000086779	
Gm37558	1	ENSMUSG00000103094	
Gm13563	1	ENSMUSG00000085767	
Vgf	1	ENSMUSG00000037428	
Gm13569	1	ENSMUSG00000085029	
Gm25544	1	ENSMUSG00000084625	
Col20a1	1	ENSMUSG00000016356	
Gm25546	1	ENSMUSG00000095169	
Gm25547	1	ENSMUSG00000095165	
Fbp1	1	ENSMUSG00000069805	
Gm25541	1	ENSMUSG00000080538	
1700125G22Rik	1	ENSMUSG00000097584	
Gm25543	1	ENSMUSG00000084627	
Fbp2	1	ENSMUSG00000021456	
Gm13590	1	ENSMUSG00000081817	
Gm13592	1	ENSMUSG00000083707	
A530064D06Rik	1	ENSMUSG00000043939	
Gm37522	1	ENSMUSG00000103783	
Eif4g2	1	ENSMUSG00000005610	
Gm37521	1	ENSMUSG00000103252	
Tmem74b	1	ENSMUSG00000044364	
Eif4g1	1	ENSMUSG00000045983	
Eif4g3	1	ENSMUSG00000028760	
Gm13594	1	ENSMUSG00000086881	
6430710C18Rik	1	ENSMUSG00000085427	
Fsip1	1	ENSMUSG00000027344	
Gm37524	1	ENSMUSG00000103780	
Gm13597	1	ENSMUSG00000075312	
Gm37529	1	ENSMUSG00000103693	
Dnase2a	1	ENSMUSG00000003812	
Fam198a	1	ENSMUSG00000038233	
Gm1720	1	ENSMUSG00000086860	
Fam198b	1	ENSMUSG00000027955	
Gm25579	1	ENSMUSG00000065341	
Vhl	1	ENSMUSG00000033933	
Rsbn1	1	ENSMUSG00000044098	
Gm13580	1	ENSMUSG00000087283	
Gm13582	1	ENSMUSG00000075325	
4930431P03Rik	1	ENSMUSG00000075042	
Gm13588	1	ENSMUSG00000084124	
Fam199x	1	ENSMUSG00000042595	
Gm13587	1	ENSMUSG00000087062	
Gm37531	1	ENSMUSG00000103696	
Gm13583	1	ENSMUSG00000086578	
Gm13586	1	ENSMUSG00000082931	
Gm37534	1	ENSMUSG00000103427	
Gm37539	1	ENSMUSG00000102299	
RP23-391P21.5	1	ENSMUSG00000106971	
Gm25561	1	ENSMUSG00000077795	
RP23-391P21.4	1	ENSMUSG00000106896	
Eif4e3	1	ENSMUSG00000093661	
Vim	1	ENSMUSG00000026728	
RP23-391P21.3	1	ENSMUSG00000107149	
Vip	1	ENSMUSG00000019772	
RP23-391P21.2	1	ENSMUSG00000106834	
Il17rc	1	ENSMUSG00000030281	
Vit	1	ENSMUSG00000024076	
Il17rd	1	ENSMUSG00000040717	
Il17ra	1	ENSMUSG00000002897	
Il17rb	1	ENSMUSG00000015966	
Il17re	1	ENSMUSG00000043088	
Cdk3-ps	1	ENSMUSG00000092300	
1110038F14Rik	1	ENSMUSG00000063236	
Mief1	1	ENSMUSG00000022412	
Mief2	1	ENSMUSG00000018599	
Fbrs	1	ENSMUSG00000042423	
Sap30bp	1	ENSMUSG00000020755	
Lurap1l	1	ENSMUSG00000048706	
Taf9b	1	ENSMUSG00000047242	
RP24-291L17.1	1	ENSMUSG00000106619	
Gsg1l	1	ENSMUSG00000046182	
Mms19	1	ENSMUSG00000025159	
A1cf	1	ENSMUSG00000052595	
E430025E21Rik	1	ENSMUSG00000022350	
C230062I16Rik	1	ENSMUSG00000063623	
Taf7l	1	ENSMUSG00000009596	
1700011A15Rik	1	ENSMUSG00000063971	
RP24-502C10.1	1	ENSMUSG00000105269	
Man2c1	1	ENSMUSG00000032295	
Edem2	1	ENSMUSG00000038312	
Edem1	1	ENSMUSG00000030104	
Sacm1l	1	ENSMUSG00000025240	
Edem3	1	ENSMUSG00000043019	
RP23-314N3.1	1	ENSMUSG00000106507	
Fam19a2	1	ENSMUSG00000044071	
Fam19a1	1	ENSMUSG00000059187	
Hexdc	1	ENSMUSG00000039307	
Fam19a3	1	ENSMUSG00000055865	
Fam19a5	1	ENSMUSG00000054863	
Glra3	1	ENSMUSG00000038257	
Glra2	1	ENSMUSG00000018589	
Man2b2	1	ENSMUSG00000029119	
Glra1	1	ENSMUSG00000000263	
Man2b1	1	ENSMUSG00000005142	
K230010J24Rik	1	ENSMUSG00000102018	
1700008F21Rik	1	ENSMUSG00000056018	
Man2a1	1	ENSMUSG00000024085	
Man2a2	1	ENSMUSG00000038886	
Phykpl	1	ENSMUSG00000020359	
1810046K07Rik	1	ENSMUSG00000036027	
Glra4	1	ENSMUSG00000018595	
Pou3f2	1	ENSMUSG00000095139	
Pou3f1	1	ENSMUSG00000090125	
Taf5l	1	ENSMUSG00000038697	
4930510E17Rik	1	ENSMUSG00000032048	
Taf6l	1	ENSMUSG00000003680	
Barhl1	1	ENSMUSG00000026805	
Barhl2	1	ENSMUSG00000034384	
Rc3h1	1	ENSMUSG00000040423	
Rc3h2	1	ENSMUSG00000075376	
Mien1	1	ENSMUSG00000002580	
Aup1	1	ENSMUSG00000068328	
Hid1	1	ENSMUSG00000034586	
Serinc5	1	ENSMUSG00000021703	
Serinc2	1	ENSMUSG00000023232	
Serinc3	1	ENSMUSG00000017707	
Serinc1	1	ENSMUSG00000019877	
Hic1	1	ENSMUSG00000043099	
Hic2	1	ENSMUSG00000050240	
Siae	1	ENSMUSG00000001942	
1700088E04Rik	1	ENSMUSG00000033029	
Gm11410	1	ENSMUSG00000083219	
Gm11411	1	ENSMUSG00000083385	
Gm11412	1	ENSMUSG00000087540	
Gm11419	1	ENSMUSG00000084996	
Gm11413	1	ENSMUSG00000086321	
4930445N08Rik	1	ENSMUSG00000087205	
E330017A01Rik	1	ENSMUSG00000055789	
Gm11400	1	ENSMUSG00000081208	
Gm11401	1	ENSMUSG00000081153	
Sox2ot	1	ENSMUSG00000105265	
Gm11407	1	ENSMUSG00000082179	
Gm11408	1	ENSMUSG00000083076	
Garem	1	ENSMUSG00000042680	
Gm11405	1	ENSMUSG00000083767	
Sp3os	1	ENSMUSG00000063714	
RP23-211L5.12	1	ENSMUSG00000104838	
Mier3	1	ENSMUSG00000032727	
Aim1l	1	ENSMUSG00000012123	
Mier1	1	ENSMUSG00000028522	
Mier2	1	ENSMUSG00000042570	
Hoxb3os	1	ENSMUSG00000084844	
Vwf	1	ENSMUSG00000001930	
Arel1	1	ENSMUSG00000042350	
Moxd1	1	ENSMUSG00000020000	
Moxd2	1	ENSMUSG00000029885	
Pcolce	1	ENSMUSG00000029718	
Capn15	1	ENSMUSG00000037326	
Gatad1	1	ENSMUSG00000007415	
B4galnt4	1	ENSMUSG00000055629	
B4galnt2	1	ENSMUSG00000013418	
B4galnt3	1	ENSMUSG00000041372	
B4galnt1	1	ENSMUSG00000006731	
Rps27rt	1	ENSMUSG00000050621	
Furin	1	ENSMUSG00000030530	
Slc36a4	1	ENSMUSG00000043885	
Slc36a3	1	ENSMUSG00000049491	
Slc36a2	1	ENSMUSG00000020264	
Slc36a1	1	ENSMUSG00000020261	
Capn10	1	ENSMUSG00000026270	
Capn11	1	ENSMUSG00000058626	
Capn12	1	ENSMUSG00000054083	
Capn13	1	ENSMUSG00000043705	
Sgol2b	1	ENSMUSG00000094443	
Nkiras1	1	ENSMUSG00000021772	
Sgol2a	1	ENSMUSG00000026039	
Qtrtd1	1	ENSMUSG00000022704	
Gm11470	1	ENSMUSG00000082665	
