gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000028078	46.33156	-1.755919	0.14694912	3.086589e-34	4.075656e-32
ENSMUSG00000028076	114.7988	-0.8765991	0.22222691	7.014309e-07	1.007679e-05
ENSMUSG00000059994	52.16836	0.6030328	0.27523806	0.0001613709	0.001399992
ENSMUSG00000004891	2373.7	-1.833273	0.12969437	1.420324e-46	3.1062189999999997e-44
ENSMUSG00000068923	239.2465	-1.270105	0.20511586	6.505384e-12	1.912893e-10
ENSMUSG00000041237	5180.608	0.3898087	0.0370957	2.78667e-28	2.853958e-26
ENSMUSG00000042784	1229.528	0.3840182	0.08622969	5.040456e-08	8.695511e-07
ENSMUSG00000000794	296.3884	-1.378065	0.12186066	1.932304e-31	2.318212e-29
ENSMUSG00000042312	1633.105	0.5342375	0.07230674	2.175125e-15	8.919286e-14
ENSMUSG00000042306	158.2827	0.775645	0.13411996	1.787163e-10	4.347797e-09
ENSMUSG00000063767	737.5932	0.3828231	0.34709043	0.00452264	0.02519311
ENSMUSG00000050359	8634.328	0.6817008	0.15532238	1.447033e-07	2.32979e-06
ENSMUSG00000027913	33.55697	0.8912738	0.32437131	2.463249e-05	0.0002590978
ENSMUSG00000104756	2.535397	-0.5628554	0.60781187	0.002906087	0.01736786
ENSMUSG00000068877	48.35619	0.5744745	0.1603287	2.437709e-06	3.128344e-05
ENSMUSG00000068874	350.5319	0.3948639	0.20833142	0.0007428409	0.005377912
ENSMUSG00000028108	4275.902	0.4920606	0.05683382	4.6701359999999995e-20	2.723598e-18
ENSMUSG00000081058	8.040898	0.48745	0.32396624	0.001216121	0.00828438
ENSMUSG00000027875	7.079542	-4.252344	0.70122244	8.18451e-11	2.092982e-09
ENSMUSG00000062127	3385.345	-0.4502502	0.17936317	9.469881e-05	0.0008689692
ENSMUSG00000046213	1.813278	-0.7626084	0.96887461	0.002764706	0.01664612
ENSMUSG00000094613	3.169892	-2.873292	0.92247496	1.438263e-05	0.0001590955
ENSMUSG00000040562	481.4951	0.675552	0.16163485	3.263433e-07	4.922111e-06
ENSMUSG00000081499	1.324684	0.4454457	0.67015755	0.006965999	0.03591629
ENSMUSG00000027966	48.45707	-0.54889	0.37475208	0.001040455	0.007226054
ENSMUSG00000068696	1.370098	-3.037799	0.84251381	5.449608e-06	6.530509e-05
ENSMUSG00000097124	127.6275	0.7626388	0.154795	1.472782e-08	2.74882e-07
ENSMUSG00000053965	85.22203	-3.921316	0.16053148	1.0333909999999999e-132	9.861839e-130
ENSMUSG00000023057	10.25833	0.4062549	0.38726083	0.004310454	0.02422971
ENSMUSG00000027978	5.534134	-0.7348761	0.44806708	0.0004258295	0.0032905
ENSMUSG00000032826	14.03545	-1.362466	0.23333015	6.358456e-11	1.639997e-09
ENSMUSG00000028023	8.207449	0.4652256	0.41217846	0.002815872	0.01693476
ENSMUSG00000019232	3.768042	-2.269232	0.50774168	3.351503e-07	5.040459e-06
ENSMUSG00000028031	4.789874	-1.812608	0.50499094	3.088809e-06	3.890195e-05
ENSMUSG00000037994	9.132442	-0.5740922	0.34806597	0.0006392968	0.004709486
ENSMUSG00000046818	1580.122	0.4057633	0.11110617	1.681279e-06	2.234079e-05
ENSMUSG00000040253	8.116979	-0.5456851	0.61121096	0.003258598	0.0191744
ENSMUSG00000056025	52.93307	-3.854994	0.2309326	1.854687e-63	6.280509e-61
ENSMUSG00000039103	48.12956	-1.334179	0.15350932	4.841766e-20	2.815869e-18
ENSMUSG00000054942	606.9146	-0.6109427	0.05564592	2.197657e-29	2.415697e-27
ENSMUSG00000085180	1.441451	-0.8053122	1.2573457	0.003422052	0.02000241
ENSMUSG00000003282	53.85946	-2.265897	0.14308066	3.3574219999999996e-57	9.79015e-55
ENSMUSG00000042198	252.1314	-0.6548412	0.09344833	8.23231e-14	2.949443e-12
ENSMUSG00000049119	50.35744	0.5175402	0.12067628	1.254132e-07	2.039543e-06
ENSMUSG00000028243	767.4682	-0.4273929	0.04546098	2.3155730000000002e-23	1.699841e-21
ENSMUSG00000041261	67.55273	-2.720646	0.49299531	4.952442e-09	9.978552e-08
ENSMUSG00000041235	636.878	-0.5234514	0.23718794	0.000188479	0.001600776
ENSMUSG00000028207	2312.847	-0.6873227	0.04496393	5.797649e-54	1.560534e-51
ENSMUSG00000040738	2230.385	-0.4657643	0.0235228	2.5088499999999998e-89	1.4236029999999999e-86
ENSMUSG00000028214	93.46471	-3.052902	0.2450145	3.2993879999999997e-36	4.7122889999999995e-34
ENSMUSG00000028217	3811.958	-0.4807557	0.21884016	0.0002195976	0.001836833
ENSMUSG00000041153	299.1763	-0.5971429	0.09103211	1.208065e-12	3.872262e-11
ENSMUSG00000041135	319.7886	-0.3855429	0.12866238	2.404342e-05	0.0002537916
ENSMUSG00000041058	1604.948	-0.3788901	0.03724256	9.549704000000001e-27	8.354001e-25
ENSMUSG00000073987	748.3008	-0.450201	0.07021086	7.443912e-13	2.471786e-11
ENSMUSG00000040387	8.451969	-1.257206	0.39189682	5.934146e-06	7.054779e-05
ENSMUSG00000040372	65.37135	-0.5292476	0.13483847	5.987159e-07	8.680967e-06
ENSMUSG00000040520	1161.127	-0.427953	0.06150155	1.521879e-14	5.77791e-13
ENSMUSG00000040270	7.815478	-1.007911	0.55509493	0.0001948369	0.001647443
ENSMUSG00000028278	15.99477	-1.423848	0.63306149	6.373558e-05	0.0006076878
ENSMUSG00000085037	84.1065	-0.4108309	0.10355915	4.280077e-07	6.341582e-06
ENSMUSG00000054659	6.876562	-1.35302	0.39642034	3.385606e-06	4.23352e-05
ENSMUSG00000045083	2.987353	-1.491388	0.97891893	0.0003070989	0.002463714
ENSMUSG00000028287	6.247411	-4.116116	0.66629953	4.889946e-11	1.281703e-09
ENSMUSG00000028427	19.46617	0.6694797	0.2171261	1.281525e-05	0.0001434202
ENSMUSG00000028436	3343.258	-0.3966893	0.03104485	7.397864e-40	1.204017e-37
ENSMUSG00000028476	16.62277	-3.395032	0.30941615	1.057679e-28	1.132958e-26
ENSMUSG00000028480	1576.728	-0.6752027	0.174127	9.906279e-07	1.381025e-05
ENSMUSG00000035615	8.356708	-1.838482	0.30118242	3.982819e-11	1.051815e-09
ENSMUSG00000035561	107.1725	-0.442022	0.22453032	0.0004789083	0.00364432
ENSMUSG00000028337	1108.035	-0.3826065	0.23069767	0.001464881	0.009692775
ENSMUSG00000028341	1.187117	-0.5276141	0.88998673	0.006527467	0.03414155
ENSMUSG00000028347	14.89981	-3.960101	0.37878218	1.4841089999999998e-26	1.271791e-24
ENSMUSG00000070985	95.55741	0.8648704	0.12214304	3.134751e-14	1.158072e-12
ENSMUSG00000028412	2868.248	-0.5265201	0.03903483	3.9444610000000004e-43	7.597612e-41
ENSMUSG00000028417	1.086478	-0.6109349	0.86186092	0.004226178	0.02383896
ENSMUSG00000038668	130.1837	0.5359754	0.20499708	5.724169e-05	0.0005502698
ENSMUSG00000028389	121.5413	-0.669051	0.09371544	3.400091e-14	1.24581e-12
ENSMUSG00000059810	30.85339	0.5682386	0.18673596	1.492247e-05	0.0001648066
ENSMUSG00000028357	1291.208	0.4045076	0.10483793	7.034224e-07	1.009457e-05
ENSMUSG00000045672	1243.547	-0.5783585	0.05392554	2.7157400000000002e-28	2.794949e-26
ENSMUSG00000028359	4.000565	-3.993383	0.63920306	3.700431e-11	9.871734e-10
ENSMUSG00000045917	126.8401	-0.3874594	0.10743818	2.228098e-06	2.876932e-05
ENSMUSG00000028364	353.1026	-2.960534	0.1662109	1.663689e-71	7.431736000000001e-69
ENSMUSG00000028370	0.9688318	-2.623156	1.01868369	3.774831e-05	0.0003779331
